value,name,rs,e,frlg
0,"Littleroot Town",1,1,0
1,"Oldale Town",1,1,0
2,"Dewford Town",1,1,0
3,"Lavaridge Town",1,1,0
4,"Fallarbor Town",1,1,0
5,"Verdanturf Town",1,1,0
6,"Pacifidlog Town",1,1,0
7,"Petalburg City",1,1,0
8,"Slateport City",1,1,0
9,"Mauville City",1,1,0
10,"Rustboro City",1,1,0
11,"Fortree City",1,1,0
12,"Lilycove City",1,1,0
13,"Mossdeep City",1,1,0
14,"Sootopolis City",1,1,0
15,"Ever Grande City",1,1,0
16,"Route 101",1,1,0
17,"Route 102",1,1,0
18,"Route 103",1,1,0
19,"Route 104",1,1,0
20,"Route 105",1,1,0
21,"Route 106",1,1,0
22,"Route 107",1,1,0
23,"Route 108",1,1,0
24,"Route 109",1,1,0
25,"Route 110",1,1,0
26,"Route 111",1,1,0
27,"Route 112",1,1,0
28,"Route 113",1,1,0
29,"Route 114",1,1,0
30,"Route 115",1,1,0
31,"Route 116",1,1,0
32,"Route 117",1,1,0
33,"Route 118",1,1,0
34,"Route 119",1,1,0
35,"Route 120",1,1,0
36,"Route 121",1,1,0
37,"Route 122",1,1,0
38,"Route 123",1,1,0
39,"Route 124",1,1,0
40,"Route 125",1,1,0
41,"Route 126",1,1,0
42,"Route 127",1,1,0
43,"Route 128",1,1,0
44,"Route 129",1,1,0
45,"Route 130",1,1,0
46,"Route 131",1,1,0
47,"Route 132",1,1,0
48,"Route 133",1,1,0
49,"Route 134",1,1,0
50,"Underwater (Route 124)",1,1,0
51,"Underwater (Route 126)",1,1,0
52,"Underwater (Route 127)",1,1,0
53,"Underwater (Route 128)",1,1,0
54,"Underwater (Sootopolis City)",1,1,0
55,"Granite Cave",1,1,0
56,"Mt. Chimney",1,1,0
57,"Safari Zone (RSE)",1,1,0
58,"Battle Tower (RS) / Battle Frontier (E)",1,1,0
59,"Petalburg Woods",1,1,0
60,"Rusturf Tunnel",1,1,0
61,"Abandoned Ship",1,1,0
62,"New Mauville",1,1,0
63,"Meteor Falls",1,1,0
