id,pp,name
0,0,None
1,35,Pound
2,25,Karate Chop
3,10,Double Slap
4,15,Comet Punch
5,20,Mega Punch
6,20,Pay Day
7,15,Fire Punch
8,15,Ice Punch
9,15,Thunder Punch
10,35,Scratch
11,30,Vise Grip
12,5,Guillotine
13,10,Razor Wind
14,30,Swords Dance
15,30,Cut
16,35,Gust
17,35,Wing Attack
18,20,Whirlwind
19,15,Fly
20,20,Bind
21,20,Slam
22,10,Vine Whip
23,20,Stomp
24,30,Double Kick
25,5,Mega Kick
26,25,Jump Kick
27,15,Rolling Kick
28,15,Sand Attack
29,15,Headbutt
30,25,Horn Attack
31,20,Fury Attack
32,5,Horn Drill
33,35,Tackle
34,15,Body Slam
35,20,Wrap
36,20,Take Down
37,20,Thrash
38,15,Double-Edge
39,30,Tail Whip
40,35,Poison Sting
41,20,Twineedle
42,20,Pin Missile
43,30,Leer
44,25,Bite
45,40,Growl
46,20,Roar
47,15,Sing
48,20,Supersonic
49,20,Sonic Boom
50,20,Disable
51,30,Acid
52,25,Ember
53,15,Flamethrower
54,30,Mist
55,25,Water Gun
56,5,Hydro Pump
57,15,Surf
58,10,Ice Beam
59,5,Blizzard
60,20,Psybeam
61,20,Bubble Beam
62,20,Aurora Beam
63,5,Hyper Beam
64,35,Peck
65,20,Drill Peck
66,25,Submission
67,20,Low Kick
68,20,Counter
69,20,Seismic Toss
70,15,Strength
71,20,Absorb
72,10,Mega Drain
73,10,Leech Seed
74,40,Growth
75,25,Razor Leaf
76,10,Solar Beam
77,35,Poison Powder
78,30,Stun Spore
79,15,Sleep Powder
80,20,Petal Dance
81,40,String Shot
82,10,Dragon Rage
83,15,Fire Spin
84,30,Thunder Shock
85,15,Thunderbolt
86,20,Thunder Wave
87,10,Thunder
88,15,Rock Throw
89,10,Earthquake
90,5,Fissure
91,10,Dig
92,10,Toxic
93,25,Confusion
94,10,Psychic
95,20,Hypnosis
96,40,Meditate
97,30,Agility
98,30,Quick Attack
99,20,Rage
100,20,Teleport
101,15,Night Shade
102,10,Mimic
103,40,Screech
104,15,Double Team
105,20,Recover
106,30,Harden
107,20,Minimize
108,20,Smokescreen
109,10,Confuse Ray
110,40,Withdraw
111,40,Defense Curl
112,30,Barrier
113,30,Light Screen
114,30,Haze
115,20,Reflect
116,30,Focus Energy
117,10,Bide
118,10,Metronome
119,20,Mirror Move
120,5,Self-Destruct
121,10,Egg Bomb
122,30,Lick
123,20,Smog
124,20,Sludge
